"ID","Name","Concepticon_Gloss","Concepticon_ID"
"1_BODY","body","BODY",1480
"2_HEAD","head","HEAD",1256
"3_FACE","face","FACE",1560
"4_FOREHEAD","forehead","FOREHEAD",123
"5_SKULL","skull","SKULL",1605
"6_HAIR","hair","HAIR",1040
"7_BALD","bald","BALD",1125
"8_CROWN (OF HEAD)","crown","CROWN (OF HEAD)",1943
"9_EAR","ear","EAR",1247
"10_EARWAX","earwax","EARWAX",32
"11_EYE","eye","EYE",1248
"12_EYELID","eyelid","EYELID",17
"13_EYELASH","eyelashes","EYELASH",1540
"14_EYEBROW","eyebrows","EYEBROW",1173
"15_EYEBROW","eyebrow","EYEBROW",1173
"16_TEAR (OF EYE)","tears","TEAR (OF EYE)",1651
"17_TEAR (OF EYE)","tear","TEAR (OF EYE)",1651
"18_NOSE","nose","NOSE",1221
"19_NOSTRIL","nostril","NOSTRIL",1178
"20_NASAL MUCUS (SNOT)","mucus","NASAL MUCUS (SNOT)",208
"21_CHEEK","cheek","CHEEK",1730
"22_MOUTH","mouth","MOUTH",674
"23_NA","exterior part of the mouth",NA,NA
"24_ORAL CAVITY","interior part of the mouth","ORAL CAVITY",2674
"25_LIP","lips","LIP",478
"26_LIP","lip","LIP",478
"27_MOUSTACHE","moustache","MOUSTACHE",1165
"28_BEARD","goatee","BEARD",678
"29_CHIN","chin","CHIN",1510
"30_BEARD","beard","BEARD",678
"31_TONGUE","tongue","TONGUE",1205
"32_PALATE","palate","PALATE",540
"33_TOOTH","tooth","TOOTH",1380
"34_MOLAR TOOTH","molar","MOLAR TOOTH",1049
"35_GUMS","gums","GUMS",139
"36_BRAIN","brains","BRAIN",1583
"37_THROAT","throat","THROAT",1346
"38_NECK","neck","NECK",1333
"39_ADAM'S APPLE","Adam's apple","ADAM'S APPLE",802
"40_NAPE (OF NECK)","nape","NAPE (OF NECK)",1347
"41_CHEST","chest, breast (male)","CHEST",1592
"42_BREAST","breasts (female)","BREAST",1402
"43_BREAST","breast","BREAST",1402
"44_BREAST OR MILK","breast (female)","BREAST OR MILK",2129
"45_NIPPLE","nipple","NIPPLE",796
"46_BREAST MILK","breast milk","BREAST MILK",3912
"47_BREAST MILK","breast milk","BREAST MILK",3912
"48_SUCKLE (BREASTFEED, NURSE)","to suck at the breast","SUCKLE (BREASTFEED, NURSE)",2472
"49_SUCKLE (BREASTFEED, NURSE)","to suckle","SUCKLE (BREASTFEED, NURSE)",2472
"50_RIB","rib","RIB",801
"51_LUNG","lung","LUNG",688
"52_HEART","heart","HEART",1223
"53_STOMACH","stomach","STOMACH",819
"54_BELLY","belly","BELLY",1251
"55_INTESTINES","intestines","INTESTINES",1991
"56_LIVER","liver","LIVER",1224
"57_BILE","bile","BILE",1780
"58_SPLEEN","spleen","SPLEEN",1744
"59_KIDNEY","kidney","KIDNEY",489
"60_SIDE (BODY)","side","SIDE (BODY)",3344
"61_NAVEL","navel","NAVEL",1838
"62_UMBILICAL CORD","umbilical cord","UMBILICAL CORD",2663
"63_BACK","back","BACK",1291
"64_SPINE","backbone, spine","SPINE",805
"65_SHOULDER","shoulder","SHOULDER",1482
"66_SHOULDERBLADE","shoulderblade","SHOULDERBLADE",172
"67_BUTTOCKS","buttocks","BUTTOCKS",834
"68_BUTTOCKS","buttock","BUTTOCKS",834
"69_BUTTOCKS","posterior, buttocks","BUTTOCKS",834
"70_NA","tailbone, coccyx",NA,NA
"71_ANUS","anus","ANUS",1935
"72_SHIT (DEFECATE)","to defecate","SHIT (DEFECATE)",676
"73_FAECES (EXCREMENT)","faeces","FAECES (EXCREMENT)",675
"74_FART","fart","FART",1159
"75_FART","to fart","FART",1159
"76_SMELL (STINK)","to stink, to smell","SMELL (STINK)",1587
"77_PENIS","penis","PENIS",1222
"78_VAGINA","vagina","VAGINA",1836
"79_TESTICLES","testicle","TESTICLES",797
"80_COPULATE","to have intercourse","COPULATE",549
"81_COPULATE","to couple","COPULATE",549
"82_PISS","to urinate","PISS",592
"83_URINE","piss, urine","URINE",1142
"84_LEG","leg","LEG",1297
"85_FOOT OR LEG","foot (plus lower leg)","FOOT OR LEG",2098
"86_FOOT","foot","FOOT",1301
"87_SOLE (FOOT)","sole of the foot","SOLE (FOOT)",2666
"88_ANKLE","ankle","ANKLE",803
"89_HEEL","heel","HEEL",980
"90_UPPER LEG (THIGH)","thigh","UPPER LEG (THIGH)",471
"91_KNEE","knee","KNEE",1371
"92_NA","back of the knee",NA,NA
"93_CALF OF LEG","calf","CALF OF LEG",498
"94_SHIN","shin","SHIN",186
"95_ARM","arm","ARM",1673
"96_ARM OR HAND","hand plus fore-arm","ARM OR HAND",2121
"97_HAND","hand","HAND",1277
"98_UPPER ARM","upper arm","UPPER ARM",431
"99_ARMPIT","armpit","ARMPIT",1886
"100_ELBOW","elbow","ELBOW",981
"101_WRIST","wrist","WRIST",799
"102_PALM OF HAND","palm of the hand","PALM OF HAND",1183
"103_NA","lines in the palm of the hand",NA,NA
"104_FINGER","finger","FINGER",1303
"105_FINGER","fingers","FINGER",1303
"106_TOE","toe","TOE",1389
"107_FINGERNAIL OR TOENAIL","(finger)nail","FINGERNAIL OR TOENAIL",1896
"108_THUMB","thumb","THUMB",1781
"109_FOREFINGER","index finger","FOREFINGER",577
"110_MIDDLE FINGER","middle finger","MIDDLE FINGER",3387
"111_NA","ring finger",NA,NA
"112_LITTLE FINGER","little finger","LITTLE FINGER",2774
"113_THUMB","the big toe","THUMB",1781
"114_LITTLE FINGER","the little toe","LITTLE FINGER",2774
"115_BONE","bone","BONE",1394
"116_BLOOD","blood","BLOOD",946
"117_FLESH OR MEAT","flesh","FLESH OR MEAT",2615
"118_TENDON","tendon","TENDON",1137
"119_NERVE","nerve","NERVE",2626
"120_TENDON","sinew, nerve","TENDON",1137
"121_SKIN","skin","SKIN",763
"122_HAIR (BODY)","body hair","HAIR (BODY)",189
"123_FUR","body hair (animal)","FUR",580
"124_SWEAT (SUBSTANCE)","sweat","SWEAT (SUBSTANCE)",125
"125_SALIVA","saliva","SALIVA",1503
"126_PHLEGM","phlegm","PHLEGM",3061
"127_BREATH OR BREATHE","to breath","BREATH OR BREATHE",3183
"128_EAT","to eat","EAT",1336
"129_BE HUNGRY","hungry","BE HUNGRY",1533
"130_DRINK","to drink","DRINK",1401
"131_DRUNK","drunk","DRUNK",1463
"132_THIRSTY","thirsty","THIRSTY",847
"133_FULL","satisfied","FULL",1429
"134_SATIATED","replete, satisfied","SATIATED",106
"135_BITE","to bite","BITE",1403
"136_SWALLOW","to swallow down","SWALLOW",897
"137_SWALLOW","to swallow","SWALLOW",897
"138_SLEEP","to sleep","SLEEP",1585
"139_DREAM (SOMETHING)","to dream","DREAM (SOMETHING)",1920
"140_DREAM","dream","DREAM",2374
"141_SLEEPY","sleepy","SLEEPY",3620
"142_WAKE UP","to wake up","WAKE UP",1602
"143_RISE (ONESELF)","to get up","RISE (ONESELF)",1512
"144_STAND","to stand","STAND",1442
"145_WALK","to walk","WALK",1443
"146_LIE (REST)","to lie supine","LIE (REST)",1411
"147_LIE DOWN","to lie prone","LIE DOWN",215
"148_LIE DOWN","to lie","LIE DOWN",215
"149_SIT DOWN","to sit (on a chair)","SIT DOWN",1649
"150_NA","to sit (with the legs crossed)",NA,NA
"151_NA","to sit (with the knees bent to one side)",NA,NA
"152_SQUAT","to squat","SQUAT",3163
"153_SWIM","to swim","SWIM",1439
"154_WASH","to take a bath","WASH",1453
"155_WASH","to wash","WASH",1453
"156_STUTTER","to stammer","STUTTER",1866
"157_NA","to speak with a burr",NA,NA
"158_VOICE","voice","VOICE",1363
"159_NA","hoarse",NA,NA
"160_SHOUT","to shout","SHOUT",715
"161_LAUGH","to laugh","LAUGH",1355
"162_LAUGH","to laugh at","LAUGH",1355
"163_CRY","to weep","CRY",1839
"164_CRY","to weep for","CRY",1839
"165_SMILE","to smile","SMILE",1451
"166_NA","to sigh",NA,NA
"167_SPIT","to spit","SPIT",1440
"168_VOMIT","to vomit","VOMIT",1278
"169_SNEEZE","to sneeze","SNEEZE",1621
"170_COUGH","to cough","COUGH",879
"171_HICCOUGH","to hiccup","HICCOUGH",162
"172_HICCOUGH","hiccups","HICCOUGH",162
"173_CHOKE","to choke","CHOKE",129
"174_BELCH","belch","BELCH",2245
"175_BELCH","to belch","BELCH",2245
"176_YAWN","to yawn","YAWN",1028
"177_NA","to nod",NA,NA
"178_PREGNANT","pregnant","PREGNANT",1123
"179_BE BORN","to be born","BE BORN",1090
"180_PLACENTA","after birth","PLACENTA",3388
"181_TWINS","twins","TWINS",1005
"182_BE ALIVE","to live (alive)","BE ALIVE",1422
"183_DIE","to die","DIE",1494
"184_DEATH","death","DEATH",910
"185_DEAD","dead","DEAD",1625
"186_NA","the deceased",NA,NA
"187_NA","liquid formed during decomposition of body",NA,NA
"188_CORPSE","corpse","CORPSE",767
"189_COFFIN","coffin","COFFIN",2011
"190_BURY","to bury","BURY",1719
"191_GRAVE","grave","GRAVE",1773
"192_KILL","to kill","KILL",1417
"193_INHERIT","to inherit","INHERIT",3664
"194_NA","inheritance",NA,NA
"195_INJURE","to wound","INJURE",44
"196_WOUND","wound","WOUND",1109
"197_INFECTED","an infected wound","INFECTED",548
"198_SCAR","scar","SCAR",497
"199_SICK","ill","SICK",1847
"200_SICK","to be ill","SICK",1847
"201_HURT (SENSE PAIN)","to (be in) pain","HURT (SENSE PAIN)",2561
"202_HEALTHY","healthy","HEALTHY",1364
"203_BOIL (OF SKIN)","boil","BOIL (OF SKIN)",793
"204_SICK","to be feverish","SICK",1847
"205_FEVER","fever","FEVER",1534
"206_NA","to have a stomach ache",NA,NA
"207_NA","stomach ache",NA,NA
"208_DIARRHEA","to have diarrhoea","DIARRHEA",1177
"209_DIARRHEA","diarrhoea","DIARRHEA",1177
"210_SMALLPOX","small pox","SMALLPOX",1054
"211_MEASLES","measles","MEASLES",3389
"212_SWELLING","swelling, swollen","SWELLING",1903
"213_GOITER","goitre","GOITER",1957
"214_NA","eruption (of rash)",NA,NA
"215_TINEA","ichthyosis, tinea","TINEA",3173
"216_NA","framboesia",NA,NA
"217_SCABIES","scabies","SCABIES",3172
"218_LEPROSY","leprosy","LEPROSY",3624
"219_HEADACHE","headache","HEADACHE",3625
"220_NA","rheumatism",NA,NA
"221_COMMON COLD (DISEASE)","to have a cold","COMMON COLD (DISEASE)",102
"222_COMMON COLD (DISEASE)","a cold","COMMON COLD (DISEASE)",102
"223_NA","gone to sleep (limbs)",NA,NA
"224_NA","cramp",NA,NA
"225_DISABLED PERSON","paralysed","DISABLED PERSON",3621
"226_LAME","crippled","LAME",320
"227_MUTE PERSON","mute","MUTE PERSON",2320
"228_DEAF PERSON","deaf","DEAF PERSON",458
"229_BLIND","blind","BLIND",1653
"230_CLOSE (EYES)","to shut the eyes","CLOSE (EYES)",2063
"231_SQUINT-EYED","squinting","SQUINT-EYED",87
"232_CURE","cured","CURE",499
"233_MEDICINE","medicine","MEDICINE",1372
"234_MAGIC","medicine (with magic power)","MAGIC",392
"235_SHAMAN (FOLK HEALER)","doctor (medicine man)","SHAMAN (FOLK HEALER)",394
"236_PERSON","man, mankind","PERSON",683
"237_PEOPLE","people","PEOPLE",789
"238_PEOPLE","people","PEOPLE",789
"239_NAME","name","NAME",1405
"240_NAME","nickname","NAME",1405
"241_MALE PERSON","man","MALE PERSON",2106
"242_WOMAN","woman","WOMAN",962
"243_MALE (OF PERSON)","male (human)","MALE (OF PERSON)",2261
"244_MALE (OF ANIMAL)","male (animal)","MALE (OF ANIMAL)",2263
"245_FEMALE (OF PERSON)","female (human)","FEMALE (OF PERSON)",2260
"246_FEMALE (OF ANIMAL)","female (animal)","FEMALE (OF ANIMAL)",2262
"247_YOUNG MAN","youth (male)","YOUNG MAN",76
"248_VIRGIN","virgin","VIRGIN",2298
"249_NA","virginity",NA,NA
"250_BOY OR SON","boy, lad","BOY OR SON",2391
"251_GIRL","young girl","GIRL",1646
"252_GIRL","girl","GIRL",1646
"253_OLD MAN","old man","OLD MAN",406
"254_OLD WOMAN","old woman","OLD WOMAN",907
"255_FATHER","father","FATHER",1217
"256_MOTHER","mother","MOTHER",1216
"257_NA","oldest child",NA,NA
"258_NA","youngest child",NA,NA
"259_BOY","little child (male)","BOY",1366
"260_GIRL","little child (female)","GIRL",1646
"261_SON","son","SON",1620
"262_DAUGHTER","daughter","DAUGHTER",1357
"263_GRANDFATHER","grandfather","GRANDFATHER",1383
"264_GRANDMOTHER","grandmother","GRANDMOTHER",1496
"265_NA","great-great-grandparents",NA,NA
"266_NA","great-grandparents",NA,NA
"267_ANCESTORS","ancestors","ANCESTORS",1669
"268_BROTHER","brother","BROTHER",1262
"269_SISTER","sister","SISTER",1263
"270_OLDER BROTHER","older brother","OLDER BROTHER",1759
"271_OLDER SISTER","older sister","OLDER SISTER",1758
"272_YOUNGER BROTHER","younger brother","YOUNGER BROTHER",1760
"273_YOUNGER SISTER","younger sister","YOUNGER SISTER",1761
"274_GRANDCHILD","grandchild","GRANDCHILD",1617
"275_PATERNAL UNCLE (FATHER'S BROTHER)","uncle FB","PATERNAL UNCLE (FATHER'S BROTHER)",1985
"276_MATERNAL UNCLE (MOTHER'S BROTHER)","uncle MB","MATERNAL UNCLE (MOTHER'S BROTHER)",2692
"277_PATERNAL UNCLE (FATHER'S OLDER BROTHER)","uncle FBo","PATERNAL UNCLE (FATHER'S OLDER BROTHER)",2173
"278_PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)","uncle FBy","PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)",2174
"279_MATERNAL UNCLE (MOTHER'S OLDER BROTHER)","uncle MBo","MATERNAL UNCLE (MOTHER'S OLDER BROTHER)",3249
"280_MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)","uncle MBy","MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)",3250
"281_PATERNAL AUNT (FATHER'S SISTER)","aunt FZ","PATERNAL AUNT (FATHER'S SISTER)",2691
"282_MATERNAL AUNT (MOTHER'S SISTER)","aunt MZ","MATERNAL AUNT (MOTHER'S SISTER)",2693
"283_PATERNAL AUNT (FATHER'S OLDER SISTER)","aunt FZo","PATERNAL AUNT (FATHER'S OLDER SISTER)",3041
"284_PATERNAL AUNT (FATHER'S SISTER)","aunt FZy","PATERNAL AUNT (FATHER'S SISTER)",2691
"285_MATERNAL AUNT (MOTHER'S OLDER SISTER)","aunt MZo","MATERNAL AUNT (MOTHER'S OLDER SISTER)",3042
"286_MATERNAL AUNT (MOTHER'S YOUNGER SISTER)","aunt MZy","MATERNAL AUNT (MOTHER'S YOUNGER SISTER)",3043
"287_NEPHEW","nephew BoS","NEPHEW",1063
"288_NEPHEW","nephew ByS","NEPHEW",1063
"289_NEPHEW","nephew ZoS","NEPHEW",1063
"290_NEPHEW","nephew ZyS","NEPHEW",1063
"291_NIECE","niece BoD","NIECE",1642
"292_NIECE","niece ByD","NIECE",1642
"293_NIECE","niece ZoD","NIECE",1642
"294_NIECE","niece ZyD","NIECE",1642
"295_MALE COUSIN","cousin FB/FZS MB/MZS","MALE COUSIN",3822
"296_FEMALE COUSIN","cousin FB/FZD MB/MZD","FEMALE COUSIN",3823
"297_PARENTS-IN-LAW","parents-in-law","PARENTS-IN-LAW",306
"298_PARENTS","respective parents of the married couple","PARENTS",505
"299_SON-IN-LAW","son-in-law","SON-IN-LAW",1056
"300_DAUGHTER-IN-LAW","daughter-in-law","DAUGHTER-IN-LAW",1057
"301_NA","son or daughter-in-law",NA,NA
"302_STEPSON","stepson","STEPSON",1059
"303_STEPDAUGHTER","stepdaughter","STEPDAUGHTER",1058
"304_NA","stepparents",NA,NA
"305_NA","adopted child",NA,NA
"306_BROTHER-IN-LAW (OF MAN)","brother-in-law WB","BROTHER-IN-LAW (OF MAN)",2380
"307_NA","brother-in-law HB",NA,NA
"308_NA","brother-in-law WZH",NA,NA
"309_NA","brother-in-law HZH",NA,NA
"310_BROTHER-IN-LAW","brother-in-law","BROTHER-IN-LAW",2314
"311_SISTER-IN-LAW","sister-in-law HZ","SISTER-IN-LAW",2317
"312_SISTER-IN-LAW","sister-in-law WZ","SISTER-IN-LAW",2317
"313_NA","sister-in-law HBW",NA,NA
"314_NA","sister-in-law WBW",NA,NA
"315_FAMILY","related","FAMILY",194
"316_NA","unrelated",NA,NA
"317_HUSBAND","husband","HUSBAND",1200
"318_WIFE","wife","WIFE",1199
"319_FRIEND","friend","FRIEND",1325
"320_FRIEND","comrade, friend","FRIEND",1325
"321_COMPANION","comrade, mate","COMPANION",3978
"322_FRIEND","friend (female)","FRIEND",1325
"323_GUEST","guest","GUEST",1782
"324_GUEST OR STRANGER","guest, stranger","GUEST OR STRANGER",2908
"325_VILLAGE","village","VILLAGE",930
"326_COUNTRY","country","COUNTRY",1300
"327_TOWN","town (capital)","TOWN",1391
"328_VILLAGE","main village","VILLAGE",930
"329_NA","hamlet",NA,NA
"330_TRIBE","people (tribe)","TRIBE",1549
"331_SORCERER","sorcerer","SORCERER",823
"332_MAGIC","talisman","MAGIC",392
"333_BEWITCH","incantation","BEWITCH",118
"334_MAGIC","magic wand","MAGIC",392
"335_MAGIC","magic book","MAGIC",392
"336_MAGIC","sacred, magic writings","MAGIC",392
"337_IDOL","idol","IDOL",1945
"338_OMEN","omen","OMEN",107
"339_GHOST","ghost","GHOST",1175
"340_SPIRIT","spirit","SPIRIT",53
"341_DEMON","evil spirit","DEMON",1973
"342_NA","vampire (witch, werewolf)",NA,NA
"343_SOUL","soul, spirit","SOUL",811
"344_GHOST","soul, ghost","GHOST",1175
"345_DEITY","the supreme being","DEITY",3231
"346_RELIGION","religion","RELIGION",661
"347_WORSHIP","to worship","WORSHIP",257
"348_NA","vital spirit, vitality",NA,NA
"349_GOD","god","GOD",1944
"350_ANCESTORS","statue representing an ancestor/ancestors","ANCESTORS",1669
"351_NA","writing",NA,NA
"352_LETTER","letter","LETTER",1612
"353_PAPER","paper","PAPER",648
"354_LETTER","letter","LETTER",1612
"355_BOOK","book","BOOK",963
"356_STORY","story","STORY",2060
"357_NA","history, legend",NA,NA
"358_POETRY","poem","POETRY",541
"359_SONG","tune, melody","SONG",1096
"360_HEAVEN","heaven","HEAVEN",1565
"361_HELL","hell","HELL",878
"362_NA","underworld",NA,NA
"363_HELL","underworld","HELL",878
"364_HEAVEN","the upper world","HEAVEN",1565
"365_NA","population",NA,NA
"366_NA","the afterlife",NA,NA
"367_NA","virtue",NA,NA
"368_SIN","sin","SIN",2971
"369_NA","forbidden",NA,NA
"370_NA","forbidden, taboo",NA,NA
"371_PRIEST","priest","PRIEST",852
"372_PRIEST","priestess","PRIEST",852
"373_SHAMAN (FOLK HEALER)","shaman","SHAMAN (FOLK HEALER)",394
"374_TEMPLE","temple","TEMPLE",911
"375_TEMPLE","holy place","TEMPLE",911
"376_TOWN","settlement","TOWN",1391
"377_MEETING HOUSE","town hall","MEETING HOUSE",335
"378_KING","king","KING",1508
"379_MINISTER","a sort of first minister","MINISTER",486
"380_MINISTER","mantri","MINISTER",486
"381_GUARD","guard","GUARD",1940
"382_PLACE (POSITION)","(sacred) place (held in awe)","PLACE (POSITION)",723
"383_MEETING HOUSE","village hall","MEETING HOUSE",335
"384_MEN'S HOUSE","men's house","MEN'S HOUSE",408
"385_HOUSE","women's house","HOUSE",1252
"386_CHIEFTAIN","village head","CHIEFTAIN",301
"387_CHIEFTAIN","chieftain","CHIEFTAIN",301
"388_NOBLE","nobleman","NOBLE",482
"389_OLD (AGED)","village elders","OLD (AGED)",2112
"390_WARRIOR","warrior","WARRIOR",3608
"391_HAPPINESS","happiness","HAPPINESS",2941
"392_SADNESS","unhappiness","SADNESS",3854
"393_FREEMAN","free man","FREEMAN",384
"394_SLAVE","slave","SLAVE",812
"395_CUSTOM","custom","CUSTOM",1747
"396_LAW","common law","LAW",1062
"397_CRIMINAL","criminal","CRIMINAL",3875
"398_ADJUDICATE","to judge","ADJUDICATE",1818
"399_PUNISH","to punish","PUNISH",3649
"400_FINE (PENALTY)","fine","FINE (PENALTY)",218
"401_WITNESS","witness","WITNESS",1144
"402_JUDGE","judge","JUDGE",861
"403_NA","credit bondsman",NA,NA
"404_FUNERAL","funeral ceremony","FUNERAL",3336
"405_CIRCUMCISION","to circumcise","CIRCUMCISION",393
"406_FILE (SOMETHING)","filing of the teeth","FILE (SOMETHING)",3113
"407_MARRY (AS MAN)","to marry, to take a wife, marriage","MARRY (AS MAN)",2164
"408_MARRY (AS WOMAN)","to marry, to take a husband, marriage","MARRY (AS WOMAN)",2163
"409_NA","to give in marriage",NA,NA
"410_DIVORCE (SEPARATE)","to divorce","DIVORCE (SEPARATE)",3672
"411_BRIDE PRICE","bride price","BRIDE PRICE",3024
"412_AGREEMENT","betrothal","AGREEMENT",3644
"413_GIVE BIRTH","to give birth to","GIVE BIRTH",1195
"414_MIDWIFE","midwife","MIDWIFE",3859
"415_ADULTERY","to commit adultery","ADULTERY",902
"416_PROSTITUTE","prostitute","PROSTITUTE",1610
"417_NA","dancing girl",NA,NA
"418_MASK","mask","MASK",2005
"419_NA","violin",NA,NA
"420_FLUTE","flute","FLUTE",777
"421_DRUM","drum","DRUM",908
"422_TAMBOURINE","tambourine","TAMBOURINE",3141
"423_NA","xylophone",NA,NA
"424_GONG","gong","GONG",2502
"425_SHELL","conch shell","SHELL",598
"426_JEW'S HARP","Jew's harp","JEW'S HARP",3319
"427_HORN (INSTRUMENT)","horn","HORN (INSTRUMENT)",939
"428_DANCE","to dance","DANCE",1879
"429_SONG","song","SONG",1096
"430_RIDDLE","riddle","RIDDLE",2970
"431_RIDDLE","to ask a riddle","RIDDLE",2970
"432_PLAY","to play","PLAY",1413
"433_TOP","top","TOP",1753
"434_SPIN","to spin a top","SPIN",121
"435_JUMP","to hop","JUMP",1829
"436_KICK","to kick/to hit a person on the calves (k.o. play)","KICK",1135
"437_HOUSE","house","HOUSE",1252
"438_HUT","hut, shelter","HUT",1678
"439_ROOF","roof","ROOF",769
"440_RIDGEPOLE","ridge of roof","RIDGEPOLE",280
"441_THATCH","roofing: thatch","THATCH",279
"442_THATCH","roofing: bamboo lath","THATCH",279
"443_THATCH","roofing: wood","THATCH",279
"444_THATCH","roofing: bark","THATCH",279
"445_ROOF","roofing: other materials","ROOF",769
"446_RAFTER","rafter","RAFTER",829
"447_PORCH","porch","PORCH",3269
"448_DOOR","door opening","DOOR",1567
"449_DOOR","door","DOOR",1567
"450_WINDOW","window opening","WINDOW",1375
"451_WINDOW","window","WINDOW",1375
"452_CORNER","corner","CORNER",192
"453_STAIRS","staircase, steps","STAIRS",34
"454_LADDER","ladder","LADDER",1464
"455_CLIMB","to climb into a house","CLIMB",1102
"456_FLOOR","floor (made from bamboo lath)","FLOOR",1632
"457_FLOOR","floor (made from wood)","FLOOR",1632
"458_WALL","wall (plank wall)","WALL",3830
"459_WALL","wall (bamboo wall)","WALL",3830
"460_NA","midrib of palm frond",NA,NA
"461_COLUMN","main posts","COLUMN",2045
"462_COLUMN","ceiling beams","COLUMN",2045
"463_BED","bed","BED",1663
"464_CURTAIN","curtain","CURTAIN",2621
"465_BEDROOM","sleeping place","BEDROOM",2505
"466_ROOM","small room","ROOM",1450
"467_PILLOW","cylindrical bolster","PILLOW",1044
"468_MATTRESS","sleeping mat","MATTRESS",105
"469_PILLOW","pillow","PILLOW",1044
"470_SOFA","couch","SOFA",3099
"471_PORCH","front verandah","PORCH",3269
"472_NA","attic (under the roof)",NA,NA
"473_RACK (FOR STORING FOOD)","rack above the fireplace","RACK (FOR STORING FOOD)",3176
"474_FIREPLACE","hearth, fireplace","FIREPLACE",185
"475_FIRE","fire","FIRE",221
"476_FIRE","fire","FIRE",221
"477_LIGHT (IGNITE)","to make a fire","LIGHT (IGNITE)",737
"478_EXTINGUISH","to extinguish (with water)","EXTINGUISH",127
"479_EXTINGUISH","to extinguish","EXTINGUISH",127
"480_BLOW (WITH MOUTH)","to blow on a fire","BLOW (WITH MOUTH)",176
"481_BECOME EXTINGUISHED","extinguished","BECOME EXTINGUISHED",2209
"482_SMOKE (EXHAUST)","smoke","SMOKE (EXHAUST)",778
"483_ASH","ashes","ASH",646
"484_FIREWOOD","fire wood","FIREWOOD",10
"485_LIGHT (IGNITE)","to put on (light)","LIGHT (IGNITE)",737
"486_EXTINGUISH","to put off (light)","EXTINGUISH",127
"487_AREA UNDER HOUSE","space under the house","AREA UNDER HOUSE",2632
