"ID","Name","Concepticon_Gloss","Concepticon_ID"
"488_CURTAIN","bed curtain","CURTAIN",2621
"489_BENCH","bench, seat","BENCH",2584
"490_BUILD","to build","BUILD",1840
"491_DESTROY","to pull down (house)","DESTROY",681
"492_SHELL","coconut shell","SHELL",598
"493_POT","pot (iron)","POT",1462
"494_CLAY POT","pot (earthenware)","CLAY POT",2055
"495_RICE STEAMER","rice kettle (copper)","RICE STEAMER",854
"496_RICE STEAMER","rice kettle (earthenware)","RICE STEAMER",854
"497_PLATE","dish","PLATE",480
"498_CUP","cup","CUP",476
"499_CUP","drinking bowl","CUP",476
"500_STORING POT","(tea) pot","STORING POT",3765
"501_SAUCER","saucer (earthenware)","SAUCER",271
"502_SAUCER","small saucer (earthenware)","SAUCER",271
"503_SAUCER","copper saucer","SAUCER",271
"504_SAUCER","copper dish","SAUCER",271
"505_KNIFE","knife","KNIFE",1352
"506_CLEAVER","chopper","CLEAVER",3067
"507_SWORD","kris","SWORD",1535
"508_SMALL KNIFE","dagger","SMALL KNIFE",3233
"509_AXE","axe, hatchet","AXE",677
"510_SPOON","spoon","SPOON",1378
"511_LADLE","ladle","LADLE",2657
"512_BARREL","bamboo water container","BARREL",2548
"513_DRAW (WATER)","to fetch water","DRAW (WATER)",1911
"514_BASKET","basket (all sorts of)","BASKET",1539
"515_LAMP","lamp","LAMP",625
"516_NA","lamp wick",NA,NA
"517_TORCH","torch","TORCH",1919
"518_BOX OR CHEST","case","BOX OR CHEST",3150
"519_BOX OR CHEST","box, case","BOX OR CHEST",3150
"520_WARDROBE","case for cloth","WARDROBE",3106
"521_COOKING POT","cooking pot","COOKING POT",3653
"522_POT","pot, jar","POT",1462
"523_BURN","to fire pottery","BURN",2102
"524_CLAY POT","earthen water barrel","CLAY POT",2055
"525_COOK (SOMETHING)","to cook in bamboo container","COOK (SOMETHING)",1100
"526_COOK (SOMETHING)","to cook (in pot)","COOK (SOMETHING)",1100
"527_STEAM (VERB)","to steam","STEAM (VERB)",2067
"528_BAKE","to bake, to grill, to fry","BAKE",183
"529_ROAST (SOMETHING)","to roast (in ashes)","ROAST (SOMETHING)",1962
"530_ROAST (SOMETHING)","to grill, to roast","ROAST (SOMETHING)",1962
"531_BAKE","to bake","BAKE",183
"532_RIPE OR COOKED","done","RIPE OR COOKED",3806
"533_RAW","half done","RAW",1959
"534_FOOD","food","FOOD",256
"535_NA","provisions",NA,NA
"536_PREPARED FOOD","side-dish","PREPARED FOOD",3542
"537_VEGETABLES","vegetables","VEGETABLES",924
"538_FLESH OR MEAT","meat","FLESH OR MEAT",2615
"539_FLESH OR MEAT","meat (raw)","FLESH OR MEAT",2615
"540_MEAT","dried meat","MEAT",634
"541_FISH","fish","FISH",227
"542_RICE PLANT","rice plant","RICE PLANT",2026
"543_UNCOOKED RICE","harvested rice","UNCOOKED RICE",3289
"544_RICE","husked rice","RICE",926
"545_COOKED RICE","cooked rice","COOKED RICE",1191
"546_UNHUSKED RICE","unhusked rice","UNHUSKED RICE",2749
"547_PLANT STEM","stalk","PLANT STEM",2628
"548_GRAIN","ear of rice, corn","GRAIN",605
"549_GRANARY","rice barn","GRANARY",3657
"550_MORTAR","rice pounder, mortar","MORTAR",224
"551_GRINDSTONE","pounder","GRINDSTONE",2459
"552_POUND","to pound","POUND",354
"553_SIEVE (TOOL)","sieve for rice","SIEVE (TOOL)",3353
"554_CHAFF (HUSK)","chaff","CHAFF (HUSK)",2363
"555_GRIND","to grind","GRIND",1033
"556_CONGEE","rice porridge","CONGEE",2049
"557_NA","sago flour",NA,NA
"558_NA","sago porridge",NA,NA
"559_NA","baked sago",NA,NA
"560_CAKE","cake","CAKE",2408
"561_CONGEE","porridge","CONGEE",2049
"562_PEPPER","black pepper","PEPPER",1385
"563_SALT","salt","SALT",1274
"564_NA","coconut pulp",NA,NA
"565_SARONG","sarong","SARONG",2413
"566_CLOTH","cloth","CLOTH",1616
"567_TROUSERS","trousers","TROUSERS",809
"568_NA","kebaya",NA,NA
"569_JACKET","jacket (for women)","JACKET",2770
"570_JACKET","jacket (for men)","JACKET",2770
"571_HEADBAND OR HEADDRESS","head cloth (for women)","HEADBAND OR HEADDRESS",3457
"572_HEADBAND OR HEADDRESS","head cloth (for men)","HEADBAND OR HEADDRESS",3457
"573_COMB","comb","COMB",1475
"574_COMB","fine tooth comb","COMB",1475
"575_RING","finger ring","RING",1374
"576_RING","ring","RING",1374
"577_BELT","waist belt/band","BELT",772
"578_BELT","metal waist band","BELT",772
"579_BRACELET","arm ring, bracelet","BRACELET",1754
"580_NA","anklet",NA,NA
"581_BRACELET","arm ring (upper arm)","BRACELET",1754
"582_EARRING","earring","EARRING",770
"583_EARRING","earclip","EARRING",770
"584_NECKLACE","necklace","NECKLACE",1961
"585_BEAD","bead","BEAD",1860
"586_SHAWL","shawl","SHAWL",2771
"587_SARONG","sarong used as a sling","SARONG",2413
"588_LOINCLOTH","loin cloth","LOINCLOTH",1965
"589_CLOTH","cotton fabric (local, European)","CLOTH",1616
"590_SILK","silk","SILK",1641
"591_CLOTH","woollen fabric","CLOTH",1616
"592_CLOTH","flannel","CLOTH",1616
"593_WEAVE","to weave","WEAVE",133
"594_LOOM","loom (meed)","LOOM",1787
"595_THREAD","loom (weaving spool)","THREAD",1161
"596_LOOM","loom (warp)","LOOM",1787
"597_NA","loom (weft)",NA,NA
"598_BARK","bark cloth","BARK",1204
"599_POUND","to pound bark cloth","POUND",354
"600_BRAID (VERB) OR WEAVE (BASKET)","to weave, to plait","BRAID (VERB) OR WEAVE (BASKET)",3294
"601_SPIN","to twine a rope","SPIN",121
"602_ROPE","rope","ROPE",1218
"603_THREAD","thread, yarn","THREAD",1161
"604_KNOT","to knot, to knit","KNOT",760
"605_BAG","bag (woven bag)","BAG",2468
"606_BAG","bag (made from rope)","BAG",2468
"607_SWORD","sword","SWORD",1535
"608_SWORD","sabre","SWORD",1535
"609_SHEATH","sheath","SHEATH",3424
"610_CUT","to chip, cut, slash","CUT",1432
"611_SPEAR","pike, lance, javelin","SPEAR",945
"612_BLOWGUN","blow-pipe","BLOWGUN",432
"613_BOW","bow","BOW",994
"614_BOW STRING","bowstring","BOW STRING",2119
"615_ARROW","arrow","ARROW",977
"616_QUIVER (FOR ARROWS)","quiver","QUIVER (FOR ARROWS)",995
"617_SHIELD","shield","SHIELD",1064
"618_FLAG","flag","FLAG",2623
"619_CANNON","kind of small cannon","CANNON",3202
"620_PISTOL","rifle","PISTOL",3881
"621_GUNPOWDER","gun powder","GUNPOWDER",1798
"622_BULLET","bullet","BULLET",1114
"623_SHOOT","to shoot","SHOOT",1172
"624_SLING","sling","SLING",387
"625_WAR","to wage war","WAR",935
"626_WAR","war","WAR",935
"627_ENEMY","enemy","ENEMY",1358
"628_CANNON","cannon","CANNON",3202
"629_HUNT","to go head hunting","HUNT",1435
"630_PEACE","peace","PEACE",1338
"631_FORTRESS","fortification","FORTRESS",1938
"632_BE DEFEATED","defeated","BE DEFEATED",3535
"633_WIN","to gain the victory, to win","WIN",866
"634_SURRENDER","to surrender","SURRENDER",1696
"635_VICTORY","victory","VICTORY",783
"636_PRISONER","prisoner of war","PRISONER",1072
"637_NA","delegate",NA,NA
"638_TAX","tribute","TAX",873
"639_GIFT","tribute <as a mark of respect >","GIFT",2982
"640_TAX","tax","TAX",873
"641_CULTIVATE","to farm","CULTIVATE",1541
"642_PLOUGH (INSTRUMENT)","plough","PLOUGH (INSTRUMENT)",2154
"643_NA","coulter",NA,NA
"644_RAKE","rake","RAKE",338
"645_DIBBLE STICK","dibble","DIBBLE STICK",3155
"646_DIG","to make a hole (with a dibble in the ground)","DIG",1418
"647_SPADE","spade","SPADE",1176
"648_NA","trowel (a small trowel)",NA,NA
"649_SICKLE OR SCYTHE","knife for cutting grass","SICKLE OR SCYTHE",2132
"650_SICKLE","sickle","SICKLE",341
"651_SMALL KNIFE","knife for cutting rice plant","SMALL KNIFE",3233
"652_HOE","hoe","HOE",284
"653_GARDEN","garden","GARDEN",586
"654_PADDY FIELD","rice-field (wet, sawah)","PADDY FIELD",140
"655_FIELD (UPLAND)","rice-field (dry)","FIELD (UPLAND)",2794
"656_NA","small dike in rice-field",NA,NA
"657_IRRIGATE","irrigation","IRRIGATE",3078
"658_CHANNEL","water-course channel","CHANNEL",2423
"659_FENCE","fence, hedge","FENCE",1690
"660_PLANT (VEGETATION)","vegetation","PLANT (VEGETATION)",653
"661_PLANT (VEGETATION)","planting, recently planted crop, a newly established garden","PLANT (VEGETATION)",653
"662_PLANT (SOMETHING)","to sow (placing the seeds in holes in the ground)","PLANT (SOMETHING)",1486
"663_SOW SEEDS","to sow (scattering the seeds about)","SOW SEEDS",748
"664_SEED","seed","SEED",714
"665_PLANT (SOMETHING)","to plant","PLANT (SOMETHING)",1486
"666_TREAD","to thresh with the feet","TREAD",575
"667_SEED","seed-rice","SEED",714
"668_RIPE","ripe","RIPE",178
"669_UNRIPE","unripe","UNRIPE",1958
"670_HARVEST CROPS","to harvest","HARVEST CROPS",1827
"671_HARVEST CROPS","to reap","HARVEST CROPS",1827
"672_HARVEST CROPS","to gather","HARVEST CROPS",1827
"673_PICK","to pick","PICK",2148
"674_MAIZE","maize, corn","MAIZE",506
"675_MILLET","millet","MILLET",931
"676_BEAN OR PEA","beans and peas","BEAN OR PEA",2574
"677_BEAN","beans","BEAN",832
"678_BEAN","bean","BEAN",832
"679_CUCUMBER","cucumber","CUCUMBER",496
"680_PUMPKIN","pumpkin","PUMPKIN",864
"681_TOBACCO","tobacco","TOBACCO",974
"682_SUGAR CANE","sugarcane","SUGAR CANE",146
"683_GROUNDNUT (PEANUT)","peanut","GROUNDNUT (PEANUT)",595
"684_ONION","onion","ONION",2366
"685_GOURD","gourd","GOURD",411
"686_SWEET POTATO","species of tuber","SWEET POTATO",159
"687_SWEET POTATO","sweet potato","SWEET POTATO",159
"688_CASSAVA","cassava","CASSAVA",925
"689_TARO","taro","TARO",351
"690_CHILI PEPPER","red pepper","CHILI PEPPER",919
"691_COCONUT TREE","coconut (tree)","COCONUT TREE",147
"692_COCONUT","coconut (fruit)","COCONUT",970
"693_COCONUT","coconut (other parts of the tree)","COCONUT",970
"694_BREADFRUIT","breadfruit tree and breadfruit","BREADFRUIT",2371
"695_SUGAR PALM","sugarpalm, aren tree","SUGAR PALM",3029
"696_LONTAR PALM","lontar tree","LONTAR PALM",3030
"697_NA","palm juice (unfermented)",NA,NA
"698_ALCOHOL (FERMENTED DRINK)","palm wine (fermented)","ALCOHOL (FERMENTED DRINK)",404
"699_ALCOHOL (FERMENTED DRINK)","palmwine","ALCOHOL (FERMENTED DRINK)",404
"700_NA","syrup",NA,NA
"701_SUGAR","sugar","SUGAR",862
"702_NA","nipa palm",NA,NA
"703_SAGO PALM","sago tree","SAGO PALM",2372
"704_SAGO","sago","SAGO",2270
"705_COTTON","cotton","COTTON",1850
"706_KAPOK TREE","kapok","KAPOK TREE",2499
"707_PANDANUS","pandanus","PANDANUS",469
"708_MANGO","mango","MANGO",2398
"709_JACKFRUIT","Artocarpus integrifolia, Jack fruit","JACKFRUIT",2655
"710_NA","Nephelium lappaceum",NA,NA
"711_NA","Durio zibethinus",NA,NA
"712_GUAVA","Eugenia","GUAVA",3981
"713_NA","Lansium domesticum",NA,NA
"714_NA","Averrhoa carambola, carambola",NA,NA
"715_NA","Averrhoa blimbi",NA,NA
"716_BANANA","banana","BANANA",868
"717_PLANTAIN","banana (wild)","PLANTAIN",399
"718_BANANA","banana (fruit)","BANANA",868
"719_CITRUS FRUIT","species of citrus fruit","CITRUS FRUIT",1126
"720_ORANGE (FRUIT)","orange","ORANGE (FRUIT)",2627
"721_GRAPE","grape fruit","GRAPE",920
"722_LEMON","lemon","LEMON",3091
"723_COFFEE","coffee","COFFEE",1299
"724_NA","indigo (plant)",NA,NA
"725_NA","indigo (dye)",NA,NA
"726_NA","Uncaria gambir",NA,NA
"727_NA","Morinda atrocarpus",NA,NA
"728_LIME (MATERIAL)","lime","LIME (MATERIAL)",2540
"729_TURMERIC","Curcuma domestica","TURMERIC",2842
"730_GINGER","ginger","GINGER",2500
"731_RATTAN","rattan, cane","RATTAN",2497
"732_BAMBOO","bamboo","BAMBOO",1927
"733_BAMBOO SHOOT","bamboo shoot, young sprout","BAMBOO SHOOT",2494
"734_TREE","tree","TREE",906
"735_WOOD","wood","WOOD",1803
"736_CLIMB","to climb a tree","CLIMB",1102
"737_CLIMB","to climb","CLIMB",1102
"738_CUT DOWN","to cut down","CUT DOWN",355
"739_BRANCH","branch","BRANCH",1531
"740_TWIG","twig","TWIG",3222
"741_WOOD","the heart of the tree","WOOD",1803
"742_ROOT","main root, taproot","ROOT",670
"743_ROOT","side-root","ROOT",670
"744_ROOT","fibrous root","ROOT",670
"745_LIANA","liana","LIANA",2388
"746_LEAF","leaf","LEAF",628
"747_LEAF","falling of the leaves","LEAF",628
"748_BARK","bark","BARK",1204
"749_THORN","thorn, spine","THORN",124
"750_SAP","sap","SAP",345
"751_GUMS","gum","GUMS",139
"752_BETELNUT","Areca catechu LINN","BETELNUT",217
"753_BETEL PEPPER VINE","betel","BETEL PEPPER VINE",177
"754_RESIN","resin","RESIN",664
"755_RESIN","resin (from the damar tree)","RESIN",664
"756_RESIN","damar tree","RESIN",664
"757_SPROUT (SHOOT)","sprout","SPROUT (SHOOT)",3358
"758_FLOWER","flower","FLOWER",239
"759_FRUIT","fruit","FRUIT",1507
"760_BEAR FRUIT","to bear fruit","BEAR FRUIT",3054
"761_SKIN (OF FRUIT)","rind, peel","SKIN (OF FRUIT)",2373
"762_PEEL","to peel","PEEL",275
"763_STONE (OF FRUIT)","pip, stone","STONE (OF FRUIT)",1762
"764_FLESH","the flesh of the fruit","FLESH",2259
"765_BUNCH","bunch","BUNCH",1966
"766_OIL (HYDROPHOBIC LIQUID)","oil","OIL (HYDROPHOBIC LIQUID)",2556
"767_MOSS","moss","MOSS",637
"768_MUSHROOM","mushroom","MUSHROOM",641
"769_FERN","ferns","FERN",3802
"770_GRASS","grass","GRASS",606
"771_WEED","weeds","WEED",3288
"772_REED","Imperata cylindria (Kunai grass)","REED",659
"773_REED","Saccharum spontaneum","REED",659
"774_ANIMAL","animal, beast","ANIMAL",619
"775_ANIMAL","young of animal (calf, foal, chicken, etc.)","ANIMAL",619
"776_NA","to bleat",NA,NA
"777_PET","to keep animals","PET",3780
"778_TAIL","tail","TAIL",1220
"779_PAW","paw","PAW",2965
"780_HOOF","hoof","HOOF",152
"781_CLAW","claw","CLAW",72
"782_UDDER","udder","UDDER",154
"783_SNOUT","mouth, snout","SNOUT",2200
"784_SNOUT","snout, muzzle","SNOUT",2200
"785_BEAK","bill, beak","BEAK",73
"786_WING","wing","WING",1257
"787_FEATHER","feather","FEATHER",1201
"788_FLY (MOVE THROUGH AIR)","to fly","FLY (MOVE THROUGH AIR)",1441
"789_NEST","nest","NEST",539
"790_EGG","egg","EGG",744
"791_LAY EGGS","to lay eggs","LAY EGGS",2464
"792_BROOD (VERB)","to brood","BROOD (VERB)",2075
"793_HATCH (OUT)","to hatch","HATCH (OUT)",3116
"794_PIG","domesticated pig","PIG",1337
"795_CAGE","piggery","CAGE",3283
"796_WILD BOAR","wild pig","WILD BOAR",3154
"797_NA","to grunt",NA,NA
"798_SHEEP","sheep","SHEEP",1331
"799_GOAT","goat","GOAT",1502
"800_BUFFALO","buffalo (female)","BUFFALO",934
"801_BUFFALO","buffalo (male)","BUFFALO",934
"802_CALF","buffalo (calf)","CALF",1989
"803_COW","cow","COW",1007
"804_BULL","bull","BULL",1008
"805_NA","to bleat, to moo",NA,NA
"806_LOW VOICE","to low, to bellow","LOW VOICE",536
"807_HORSE","horse","HORSE",615
"808_NA","to neigh, to whinny",NA,NA
"809_DEER","deer","DEER",1936
"810_HORN (ANATOMY)","horn","HORN (ANATOMY)",1393
"811_DOG","dog","DOG",2009
"812_BARKING","to bark","BARKING",1206
"813_CAT","cat","CAT",1208
"814_NA","to miaow",NA,NA
"815_TIGER","tiger","TIGER",846
"816_ROAR","to roar","ROAR",3896
"817_BEAR","bear","BEAR",1820
"818_PORCUPINE","porcupine","PORCUPINE",2510
"819_NA","marsupial",NA,NA
"820_MARTEN","marten (paradaxurus)","MARTEN",3739
"821_APE OR MONKEY","half-ape","APE OR MONKEY",3298
"822_ANTEATER","ant-eater (manis javanica)","ANTEATER",181
"823_CASSOWARY","cassowary","CASSOWARY",466
"824_DOVE","pigeon","DOVE",1853
"825_CROW","crow","CROW",913
"826_CHICKEN","hen, chicken","CHICKEN",1318
"827_CHICK","chick","CHICK",2512
"828_HEN","hen","HEN",1514
"829_PARENTS","mother hen","PARENTS",505
"830_ROOSTER","cock, rooster","ROOSTER",1511
"831_ROOSTER","fighting cock","ROOSTER",1511
"832_FIGHT","cock-fighting","FIGHT",1423
"833_DUCK","duck","DUCK",1360
"834_PARROT","parrot","PARROT",882
"835_PARAKEET","parakeet, budgerigar","PARAKEET",886
"836_SWALLOW (BIRD)","swallow","SWALLOW (BIRD)",3077
"837_SPARROW","rice-bird","SPARROW",1854
"838_HORNBILL","hornbill","HORNBILL",3260
"839_QUAIL","quail","QUAIL",1893
"840_HERON","heron","HERON",758
"841_EAGLE OR HAWK","birds of prey","EAGLE OR HAWK",2683
"842_OWL","owl","OWL",735
"843_EAGLE","kite (bird)","EAGLE",1905
"844_BIRD","bird","BIRD",937
"845_SQUIRREL","squirrel","SQUIRREL",1628
"846_BAT","bat","BAT",1793
"847_BAT","bat","BAT",1793
"848_FLYING FOX","flying fox","FLYING FOX",235
"849_DEER","deer","DEER",1936
"850_DEER","cherrotain mousedeer","DEER",1936
"851_MOUSE","mouse","MOUSE",1491
"852_RAT","rat","RAT",1490
"853_SHREW","shrew","SHREW",3676
"854_MONKEY","monkey","MONKEY",1350
"855_HUNT","to hunt","HUNT",1435
"856_TRAP (CATCH)","trap for catching large game","TRAP (CATCH)",1170
"857_TRAP (PITFALL)","trap","TRAP (PITFALL)",1075
"858_TRAP (PITFALL)","bamboo spikes","TRAP (PITFALL)",1075
"859_FISHING","to fish","FISHING",2638
"860_FISH TRAP","fish trap","FISH TRAP",389
"861_NET (FOR CATCHING)","net","NET (FOR CATCHING)",2653
"862_FISH","fish","FISH",227
"863_SHARK","shark","SHARK",1110
"864_STINGRAY","ray","STINGRAY",1910
"865_FRESHWATER EEL","eel","FRESHWATER EEL",1013
"866_LOUSE","louse","LOUSE",1392
"867_NA","to delouse",NA,NA
"868_LOUSE","louse","LOUSE",1392
"869_NIT","nit","NIT",267
"870_FLEA","flea","FLEA",232
"871_SPIDER","spider","SPIDER",843
"872_FLY (INSECT)","fly","FLY (INSECT)",1504
"873_FLY (INSECT)","bluebottle fly","FLY (INSECT)",1504
"874_WASP","wasp","WASP",1517
"875_BEE","bee","BEE",665
"876_HONEY","honey","HONEY",942
"877_MOSQUITO","mosquito","MOSQUITO",1509
"878_BUTTERFLY","butterfly","BUTTERFLY",1791
"879_CATERPILLAR","caterpillar","CATERPILLAR",2247
"880_FIREFLY","firefly","FIREFLY",206
"881_GRASSHOPPER","grasshopper","GRASSHOPPER",607
"882_BEETLE","beetle","BEETLE",2242
"883_COCKROACH","cockroach","COCKROACH",1575
"884_ANT","ant","ANT",587
"885_TERMITE","white ant, termite","TERMITE",883
"886_SNAKE","snake","SNAKE",730
"887_PYTHON","python","PYTHON",1563
"888_CENTIPEDE","centipede","CENTIPEDE",1974
"889_LEECH","leech","LEECH",2273
"890_SNAIL","snail, slug","SNAIL",1543
"891_WORM","worm","WORM",1219
"892_SHRIMP","shrimp","SHRIMP",2349
"893_CRAB","crab","CRAB",2348
"894_SHELL","shell","SHELL",598
"895_NA","crustacean",NA,NA
"896_FROG","frog","FROG",503
"897_TOAD","toad","TOAD",894
"898_LIZARD","lizard","LIZARD",632
"899_IGUANA","iguana","IGUANA",1578
"900_CROCODILE","crocodile","CROCODILE",1857
"901_TORTOISE","tortoise","TORTOISE",895
"902_TURTLE","turtle","TURTLE",112
"903_NA","universe",NA,NA
"904_HEAVEN","firmament","HEAVEN",1565
"905_SKY","sky","SKY",1732
"906_SUN","sun","SUN",1343
"907_ECLIPSE","sun eclipse","ECLIPSE",2285
"908_MOON","moon","MOON",1313
"909_MONTH","one month","MONTH",1370
"910_MONTH","month (name of the months)","MONTH",1370
"911_ECLIPSE","moon eclipse","ECLIPSE",2285
"912_STAR","star","STAR",1430
"913_SUNRISE","sunrise","SUNRISE",2296
"914_DUSK","moonrise","DUSK",2297
"915_SUNSET","sunset","SUNSET",2295
"916_DAWN","moonset","DAWN",729
"917_WORLD","earth (globe)","WORLD",965
"918_AIR","air","AIR",27
"919_RAINING OR RAIN","rain","RAINING OR RAIN",2108
"920_DEW","dew","DEW",1977
"921_CLOUD","cloud","CLOUD",1489
"922_FOG","fog, mist","FOG",249
"923_RAINBOW","rainbow","RAINBOW",1733
"924_THUNDER","thunder","THUNDER",1150
"925_NA","thunderstone",NA,NA
"926_LIGHTNING","(flash of) lightning","LIGHTNING",1654
"927_EARTHQUAKE","earthquake","EARTHQUAKE",6
"928_WIND","wind","WIND",960
"929_STORM","storm","STORM",858
"930_WATER","water","WATER",948
"931_SEA","sea","SEA",1474
"932_CEASE","ebb","CEASE",1928
"933_LAKE","lake","LAKE",624
"934_HIGH TIDE","flood, tide","HIGH TIDE",613
"935_WAVE","wave","WAVE",978
"936_SURF","breakers, surf","SURF",3132
"937_BAY","bay","BAY",663
"938_BEACH","beach","BEACH",3460
"939_STRAIT","strait(s)","STRAIT",1661
"940_NA","sandbank",NA,NA
"941_REEF","coral reef","REEF",660
"942_LAND","land","LAND",626
"943_COUNTRY","land (state)","COUNTRY",1300
"944_ISLAND","island","ISLAND",622
"945_NA","isthmus",NA,NA
"946_CAPE","cape","CAPE",1662
"947_MOUNTAIN","mountain","MOUNTAIN",639
"948_HILL","hill","HILL",614
"949_GO UP (ASCEND)","mountain-climbing, to ascend","GO UP (ASCEND)",705
"950_GO DOWN (DESCEND)","to go down, to descend","GO DOWN (DESCEND)",2014
"951_PLAIN","plain","PLAIN",652
"952_VALLEY","valley","VALLEY",921
"953_SAVANNA","grassy plain","SAVANNA",260
"954_SWAMP","swamp","SWAMP",1145
"955_FOREST","forest, woods","FOREST",420
"956_JUNGLE","jungle","JUNGLE",3808
"957_BUSH","bush","BUSH",1683
"958_VOLCANO","volcano","VOLCANO",2291
"959_PATH OR ROAD","way, road","PATH OR ROAD",2457
"960_MUD","mud","MUD",640
"961_FOOTPRINT","footstep (footprint)","FOOTPRINT",318
"962_BORDER","border, boundary","BORDER",2546
"963_RIVER","river","RIVER",666
"964_BRIDGE","bridge","BRIDGE",1011
"965_SAIL","to go upstream","SAIL",787
"966_SAIL","to go downstream","SAIL",787
"967_SPRING (OF WATER)","spring, source","SPRING (OF WATER)",849
"968_HIGH TIDE","flood","HIGH TIDE",613
"969_STONE","stone","STONE",857
"970_EARTH (SOIL)","earth (ground)","EARTH (SOIL)",1228
"971_SAND","sand","SAND",671
"972_GRAVEL","gravel","GRAVEL",3028
"973_IRON","iron","IRON",621
"974_COPPER","copper","COPPER",1825
"975_BRONZE","bronze","BRONZE",2313
"976_SILVER","silver","SILVER",759
"977_GOLD","gold","GOLD",1369
"978_TIN (METAL)","tin","TIN (METAL)",893
"979_LEAD (CHEMICAL ELEMENT)","lead","LEAD (CHEMICAL ELEMENT)",627
"980_SULPHUR","sulphur","SULPHUR",3386
"981_BLACKSMITH","smith","BLACKSMITH",1001
"982_NA","smithy",NA,NA
"983_FORGE","to forge, weld","FORGE",288
"984_CHARCOAL","charcoal","CHARCOAL",1188
"985_HAMMER","hammer","HAMMER",1481
"986_ANVIL","anvil","ANVIL",1648
"987_TONGS","tongs","TONGS",272
"988_CHARCOAL","cinders, glowing coals","CHARCOAL",1188
"989_SHARPEN (SOMETHING)","to sharpen, to grind","SHARPEN (SOMETHING)",251
"990_GRINDSTONE","grindstone","GRINDSTONE",2459
"991_GIFT","gift, present","GIFT",2982
"992_NA","to negotiate",NA,NA
"993_PEACE","to make peace","PEACE",1338
"994_AGREEMENT","to sign a treaty","AGREEMENT",3644
"995_MERCHANT","merchant","MERCHANT",1082
